nombre;url;nombre_conductor;origen;fecha_salida;destino;fecha_llegada;duracion;precio;distancia_origen;distancia_destino;auto_aceptacion;dos_asientos_detras;conductor_con_foto
/trip/carpooling/1494079875-madrid-mojacar-a572091;https://www.blablacar.es/trip/carpooling/1494079875-madrid-mojacar-a572091;Marcus;Madrid;2019-04-17 00:00:00;Región de Murcia;2019-04-17 04:00:00;4.0;27.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493210860-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1493210860-madrid-murcia-a100017;Juan Ramon;Madrid;2019-04-17 07:00:00;Cancarix;2019-04-17 10:40:00;3.67;22.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1487247112-madrid-vera-a572091;https://www.blablacar.es/trip/carpooling/1487247112-madrid-vera-a572091;Rossana;Madrid;2019-04-17 08:00:00;Región de Murcia;2019-04-17 12:10:00;4.17;33.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493812664-valdemoro-orihuela-a100017;https://www.blablacar.es/trip/carpooling/1493812664-valdemoro-orihuela-a100017;Víctor;Valdemoro;2019-04-17 08:00:00;Cancarix;2019-04-17 11:40:00;3.67;26.0;Puede que necesites transporte para llegar ahí;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1472305801-madrid-la-zenia-boulevard-parking-orihuela-a100017;https://www.blablacar.es/trip/carpooling/1472305801-madrid-la-zenia-boulevard-parking-orihuela-a100017;Alfonso;Madrid;2019-04-17 08:30:00;Cancarix;2019-04-17 12:20:00;3.83;26.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1490464011-madrid-la-zenia-a100017;https://www.blablacar.es/trip/carpooling/1490464011-madrid-la-zenia-a100017;Elisa;Madrid;2019-04-17 08:30:00;Cancarix;2019-04-17 12:20:00;3.83;24.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1484862583-madrid-region-de-murcia-a100017;https://www.blablacar.es/trip/carpooling/1484862583-madrid-region-de-murcia-a100017;Luciano;Madrid;2019-04-17 09:00:00;Cancarix;2019-04-17 12:50:00;3.83;30.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1491687604-madrid-mazarron-a100017;https://www.blablacar.es/trip/carpooling/1491687604-madrid-mazarron-a100017;Patricia;Madrid;2019-04-17 09:00:00;Cancarix;2019-04-17 13:00:00;4.0;34.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493880193-madrid-san-juan-de-los-terreros-a100017;https://www.blablacar.es/trip/carpooling/1493880193-madrid-san-juan-de-los-terreros-a100017;Alberto;Madrid;2019-04-17 09:00:00;Cancarix;2019-04-17 12:50:00;3.83;20.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1489129195-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1489129195-madrid-murcia-a100017;Laura;Madrid;2019-04-17 10:00:00;Cancarix;2019-04-17 13:50:00;3.83;24.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493731345-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1493731345-madrid-murcia-a100017;Alma María;Madrid;2019-04-17 10:00:00;Cancarix;2019-04-17 13:50:00;3.83;20.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1489970175-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1489970175-madrid-murcia-a100017;Beatriz;Madrid;2019-04-17 10:30:00;Cancarix;2019-04-17 14:20:00;3.83;24.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493032255-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1493032255-madrid-murcia-a100017;Raul;Madrid;2019-04-17 11:00:00;Cancarix;2019-04-17 14:40:00;3.67;28.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493071371-madrid-murcia-1-a100017;https://www.blablacar.es/trip/carpooling/1493071371-madrid-murcia-1-a100017;Mar;Madrid;2019-04-17 11:30:00;Cancarix;2019-04-17 15:20:00;3.83;20.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493545341-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1493545341-madrid-murcia-a100017;Gonzalo;Madrid;2019-04-17 11:30:00;Cancarix;2019-04-17 15:30:00;4.0;21.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493050112-arganda-del-rey-region-de-murcia-a100017;https://www.blablacar.es/trip/carpooling/1493050112-arganda-del-rey-region-de-murcia-a100017;Juan Carlos;Arganda del Rey;2019-04-17 13:10:00;Cancarix;2019-04-17 16:40:00;3.5;25.0;Puede que necesites transporte para llegar ahí;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1486526175-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1486526175-madrid-murcia-a100017;David;Madrid;2019-04-17 15:00:00;Cancarix;2019-04-17 18:40:00;3.67;24.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1488968412-madrid-vera-a572091;https://www.blablacar.es/trip/carpooling/1488968412-madrid-vera-a572091;Manuel;Madrid;2019-04-17 15:00:00;Región de Murcia;2019-04-17 19:00:00;4.0;29.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1490288367-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1490288367-madrid-murcia-a100017;Nacho;Madrid;2019-04-17 15:00:00;Cancarix;2019-04-17 18:40:00;3.67;21.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1490388075-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1490388075-madrid-murcia-a100017;Francisco;Madrid;2019-04-17 15:00:00;Cancarix;2019-04-17 18:40:00;3.67;27.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1492779331-madrid-puerto-de-mazarron-a100017;https://www.blablacar.es/trip/carpooling/1492779331-madrid-puerto-de-mazarron-a100017;Francisco Javier;Madrid;2019-04-17 15:00:00;Cancarix;2019-04-17 18:50:00;3.83;27.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1494479225-madrid-vera-a572091;https://www.blablacar.es/trip/carpooling/1494479225-madrid-vera-a572091;Ruth;Madrid;2019-04-17 15:00:00;Región de Murcia;2019-04-17 19:00:00;4.0;27.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1476820724-madrid-jumilla;https://www.blablacar.es/trip/carpooling/1476820724-madrid-jumilla;Pedro;Madrid;2019-04-17 15:30:00;Jumilla;2019-04-17 19:40:00;4.17;28.5;Muy cerca de ti;Muy cerca de ti;True;True;True
/trip/carpooling/1485275625-madrid-los-alcazares-a100017;https://www.blablacar.es/trip/carpooling/1485275625-madrid-los-alcazares-a100017;Miguel;Madrid;2019-04-17 15:30:00;Cancarix;2019-04-17 19:20:00;3.83;30.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1494616922-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1494616922-madrid-murcia-a100017;Pablo;Madrid;2019-04-17 15:30:00;Cancarix;2019-04-17 19:20:00;3.83;21.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1488701649-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1488701649-madrid-murcia-a100017;Jaime;Madrid;2019-04-17 16:00:00;Cancarix;2019-04-17 19:50:00;3.83;22.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1489053973-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1489053973-madrid-murcia-a100017;Juan Carlos;Madrid;2019-04-17 16:10:00;Cancarix;2019-04-17 19:50:00;3.67;25.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1487851702-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1487851702-madrid-murcia-a100017;Pedro;Madrid;2019-04-17 16:30:00;Cancarix;2019-04-17 20:10:00;3.67;20.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1487644852-madrid-mojacar-a572091;https://www.blablacar.es/trip/carpooling/1487644852-madrid-mojacar-a572091;Jose;Madrid;2019-04-17 18:00:00;Región de Murcia;2019-04-17 21:50:00;3.83;30.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1491525827-madrid-region-de-murcia-a100017;https://www.blablacar.es/trip/carpooling/1491525827-madrid-region-de-murcia-a100017;Salvatore;Madrid;2019-04-17 18:30:00;Cancarix;2019-04-17 22:20:00;3.83;21.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1494450798-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1494450798-madrid-murcia-a100017;Jaime;Madrid;2019-04-17 19:00:00;Cancarix;2019-04-17 22:50:00;3.83;19.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1494092349-san-sebastian-de-los-reyes-murcia-a100017;https://www.blablacar.es/trip/carpooling/1494092349-san-sebastian-de-los-reyes-murcia-a100017;Javier;San Sebastián de los Reyes;2019-04-17 19:30:00;Cancarix;2019-04-17 23:40:00;4.17;24.0;Puede que necesites transporte para llegar ahí;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493530578-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1493530578-madrid-murcia-a100017;Manuel;Madrid;2019-04-17 19:55:00;Cancarix;2019-04-17 23:40:00;3.75;19.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1470914817-madrid-velez-rubio-a572091;https://www.blablacar.es/trip/carpooling/1470914817-madrid-velez-rubio-a572091;Guillermo;Madrid;2019-04-17 20:00:00;Región de Murcia;2019-04-18 00:00:00;4.0;29.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1491407121-madrid-los-alcazares-a100017;https://www.blablacar.es/trip/carpooling/1491407121-madrid-los-alcazares-a100017;Inma;Madrid;2019-04-17 20:10:00;Cancarix;2019-04-17 23:50:00;3.67;27.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1487135861-madrid-cieza;https://www.blablacar.es/trip/carpooling/1487135861-madrid-cieza;Gema Maria;Madrid;2019-04-17 20:30:00;Cieza;2019-04-18 00:40:00;4.17;22.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493772337-madrid-pozo-estrecho-a100017;https://www.blablacar.es/trip/carpooling/1493772337-madrid-pozo-estrecho-a100017;Jorge Angel;Madrid;2019-04-17 20:30:00;Cancarix;2019-04-18 00:20:00;3.83;30.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1494519615-madrid-vera-a100017;https://www.blablacar.es/trip/carpooling/1494519615-madrid-vera-a100017;Rosana;Madrid;2019-04-17 20:30:00;Cancarix;2019-04-18 00:10:00;3.67;25.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1446435775-getafe-torrevieja-a100017;https://www.blablacar.es/trip/carpooling/1446435775-getafe-torrevieja-a100017;Joana;Getafe;2019-04-17 21:00:00;Cancarix;2019-04-18 00:50:00;3.83;20.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;False
/trip/carpooling/1489767805-getafe-murcia-a100017;https://www.blablacar.es/trip/carpooling/1489767805-getafe-murcia-a100017;Ana;Getafe;2019-04-17 21:00:00;Cancarix;2019-04-18 00:50:00;3.83;25.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1494629599-torrejon-de-ardoz-orihuela-a100017;https://www.blablacar.es/trip/carpooling/1494629599-torrejon-de-ardoz-orihuela-a100017;Antonio;Torrejón de Ardoz;2019-04-17 21:00:00;Cancarix;2019-04-18 00:50:00;3.83;18.0;Puede que necesites transporte para llegar ahí;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1492080752-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1492080752-madrid-murcia-a100017;Mariano;Madrid;2019-04-18 03:30:00;Cancarix;2019-04-18 07:10:00;3.67;21.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493826594-alcorcon-region-de-murcia-a100017;https://www.blablacar.es/trip/carpooling/1493826594-alcorcon-region-de-murcia-a100017;Nacho;Alcorcón;2019-04-18 06:00:00;Cancarix;2019-04-18 09:50:00;3.83;21.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493904161-madrid-mojacar-a100017;https://www.blablacar.es/trip/carpooling/1493904161-madrid-mojacar-a100017;Francisco;Madrid;2019-04-18 07:10:00;Cancarix;2019-04-18 11:10:00;4.0;32.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1488346378-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1488346378-madrid-murcia-a100017;Jose J;Madrid;2019-04-18 07:30:00;Cancarix;2019-04-18 11:20:00;3.83;20.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1479138837-madrid-torrevieja-a100017;https://www.blablacar.es/trip/carpooling/1479138837-madrid-torrevieja-a100017;Raquel;Madrid;2019-04-18 08:00:00;Cancarix;2019-04-18 11:50:00;3.83;34.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;False
/trip/carpooling/1490927467-madrid-yecla;https://www.blablacar.es/trip/carpooling/1490927467-madrid-yecla;Enrique;Madrid;2019-04-18 08:30:00;Yecla;2019-04-18 12:10:00;3.67;24.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;False;False
/trip/carpooling/1494582328-madrid-torrevieja-a100017;https://www.blablacar.es/trip/carpooling/1494582328-madrid-torrevieja-a100017;Tonio;Madrid;2019-04-18 08:30:00;Cancarix;2019-04-18 12:20:00;3.83;26.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1493817074-madrid-cox-a100017;https://www.blablacar.es/trip/carpooling/1493817074-madrid-cox-a100017;Marian;Madrid;2019-04-18 09:00:00;Cancarix;2019-04-18 12:50:00;3.83;26.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1490638031-madrid-murcia-a100017;https://www.blablacar.es/trip/carpooling/1490638031-madrid-murcia-a100017;Alberto;Madrid;2019-04-18 09:30:40;Cancarix;2019-04-18 13:20:00;3.82;21.5;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1494104823-madrid-torre-de-la-horadada-a100017;https://www.blablacar.es/trip/carpooling/1494104823-madrid-torre-de-la-horadada-a100017;Jo;Madrid;2019-04-18 10:00:06;Cancarix;2019-04-18 13:40:00;3.67;30.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1481081988-vitoria-gasteiz-murcia-d273835-a100017;https://www.blablacar.es/trip/carpooling/1481081988-vitoria-gasteiz-murcia-d273835-a100017;Antonio;Torrejón de Ardoz;2019-04-18 11:30:00;Cancarix;2019-04-18 15:10:00;3.67;32.0;Puede que necesites transporte para llegar ahí;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1493917615-madrid-cieza;https://www.blablacar.es/trip/carpooling/1493917615-madrid-cieza;Fran;Madrid;2019-04-19 15:30:00;Región de Murcia;2019-04-19 19:40:00;4.17;35.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;True;True;True
/trip/carpooling/1488326526-madrid-cieza;https://www.blablacar.es/trip/carpooling/1488326526-madrid-cieza;Gema Maria;Madrid;2019-04-22 18:00:00;Cieza;2019-04-22 22:00:00;4.0;24.0;Un poco lejos;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1494358643-madrid-region-de-murcia;https://www.blablacar.es/trip/carpooling/1494358643-madrid-region-de-murcia;Victor;Madrid;2019-04-24 15:30:00;Región de Murcia;2019-04-24 20:10:00;4.67;24.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1494359504-madrid-region-de-murcia;https://www.blablacar.es/trip/carpooling/1494359504-madrid-region-de-murcia;Victor;Madrid;2019-04-25 07:20:00;Región de Murcia;2019-04-25 12:10:00;4.83;24.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;False;True
/trip/carpooling/1491404461-madrid-jumilla;https://www.blablacar.es/trip/carpooling/1491404461-madrid-jumilla;Pedro;Madrid;2019-05-03 15:30:00;Jumilla;2019-05-03 19:40:00;4.17;22.5;Muy cerca de ti;Muy cerca de ti;True;True;True
/trip/carpooling/1491745739-madrid-yecla;https://www.blablacar.es/trip/carpooling/1491745739-madrid-yecla;Carmen;Madrid;2019-05-07 14:30:00;Yecla;2019-05-07 18:20:00;3.83;18.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;False;True;True
/trip/carpooling/1464070476-madrid-yecla;https://www.blablacar.es/trip/carpooling/1464070476-madrid-yecla;Juan;Madrid;2019-05-12 17:40:00;Yecla;2019-05-12 22:00:00;4.33;21.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;True;True;True
/trip/carpooling/1361548185-madrid-yecla;https://www.blablacar.es/trip/carpooling/1361548185-madrid-yecla;Juan;Madrid;2019-06-03 17:00:00;Yecla;2019-06-03 21:00:00;4.0;19.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;True;False;True
/trip/carpooling/1464071974-madrid-yecla;https://www.blablacar.es/trip/carpooling/1464071974-madrid-yecla;Juan;Madrid;2019-08-11 19:30:00;Yecla;2019-08-11 23:50:00;4.33;21.5;Muy cerca de ti;Puede que necesites transporte para llegar ahí;True;True;True
/trip/carpooling/1464073066-madrid-yecla;https://www.blablacar.es/trip/carpooling/1464073066-madrid-yecla;Juan;Madrid;2019-08-25 23:20:00;Yecla;2019-08-26 03:30:00;4.17;19.0;Muy cerca de ti;Puede que necesites transporte para llegar ahí;True;True;True
